"name","height","weight","year_start","year_end","dob","college","position"
"Brandon Paul","76","200","2018","2018","1991-04-30","University of Illinois at Urbana-Champaign","G"
"Chris Paul","73","175","2006","2018","1985-05-06","Wake Forest University","G"
"Adreian Payne","82","237","2015","2018","1991-02-19","Michigan State University","F-C"
"Elfrid Payton","76","185","2015","2018","1994-02-22","University of Louisiana at Lafayette","G"
"Gary Payton","75","190","2017","2018","1992-12-01","Oregon State University","G"
"London Perrantes","74","200","2018","2018","1994-10-03","University of Virginia","G"
"Alec Peters","81","232","2018","2018","1995-04-13","Valparaiso University","F"
"Mason Plumlee","83","245","2014","2018","1990-03-05","Duke University","C-F"
"Miles Plumlee","83","249","2013","2018","1988-09-01","Duke University","C-F"
"Jakob Poeltl","85","248","2017","2018","1995-10-15","University of Utah","C"
"Quincy Pondexter","79","220","2011","2018","1988-03-10","University of Washington","G-F"
"Otto Porter","80","198","2014","2018","1993-06-03","Georgetown University","F"
"Bobby Portis","83","230","2016","2018","1995-02-10","University of Arkansas","F"
"Kristaps Porzingis","87","240","2016","2018","1995-08-02","","F-C"
"Dwight Powell","83","240","2015","2018","1991-07-20","Stanford University","F-C"
"Norman Powell","76","215","2016","2018","1993-05-25","University of California, Los Angeles","G"
"Alex Poythress","79","238","2017","2018","1993-09-06","University of Kentucky","F"
"Jacob Pullen","73","200","2018","2018","1989-11-10","Kansas State University","G"
"Zhou Qi","85","210","2018","2018","1996-01-16","","F-C"
"Ivan Rabb","82","220","2018","2018","1997-02-04","University of California","F"
"Julius Randle","81","250","2015","2018","1994-11-29","University of Kentucky","F-C"
"Zach Randolph","81","260","2002","2018","1981-07-16","Michigan State University","F-C"
"J.J. Redick","76","190","2007","2018","1984-06-24","Duke University","G"
"Willie Reed","82","220","2016","2018","1990-05-16","Saint Louis University","F-C"
"Josh Richardson","78","200","2016","2018","1993-09-15","University of Tennessee","G"
"Malachi Richardson","78","205","2017","2018","1996-01-05","Syracuse University","G"
"Austin Rivers","76","200","2013","2018","1992-08-01","Duke University","G"
"Andre Roberson","79","210","2014","2018","1991-12-04","University of Colorado","G-F"
"Rajon Rondo","73","186","2007","2018","1986-02-22","University of Kentucky","G"
"Derrick Rose","75","190","2009","2018","1988-10-04","University of Memphis","G"
"Terrence Ross","79","206","2013","2018","1991-02-05","University of Washington","F-G"
"Terry Rozier","74","190","2016","2018","1994-03-17","University of Louisville","G"
"Ricky Rubio","76","194","2012","2018","1990-10-21","","G"
"DAngelo Russell","77","195","2016","2018","1996-02-23","Ohio State University","G"
"Domantas Sabonis","83","240","2017","2018","1996-05-03","Gonzaga University","F-C"
"JaKarr Sampson","81","214","2015","2018","1993-03-20","St. Johns University","G-F"
"Dario Saric","82","223","2017","2018","1994-04-08","","F"
"Tomas Satoransky","79","210","2017","2018","1991-10-30","","G"
"Dennis Schroder","73","172","2014","2018","1993-09-15","","G"
"Mike Scott","80","237","2013","2018","1988-07-16","University of Virginia","F"
"Thabo Sefolosha","79","220","2007","2018","1984-05-02","","G-F"
"Wayne Selden","77","230","2017","2018","1994-09-30","University of Kansas","G-F"
"Ramon Sessions","75","190","2008","2018","1986-04-11","University of Nevada, Reno","G"
"Iman Shumpert","77","220","2012","2018","1990-06-26","Georgia Institute of Technology","G"
"Pascal Siakam","81","230","2017","2018","1994-02-04","New Mexico State University","F"
"Ben Simmons","82","230","2018","2018","1996-07-20","Louisiana State University","G-F"
"Jonathon Simmons","78","195","2016","2018","1989-09-14","University of Houston","G-F"
"Kobi Simmons","77","166","2018","2018","1997-07-04","University of Arizona","G"
"Kyle Singler","80","228","2013","2018","1988-05-04","Duke University","F"
"Marcus Smart","76","220","2015","2018","1994-03-06","Oklahoma State University","G"
"Dennis Smith","75","195","2018","2018","1997-11-25","North Carolina State University","G"
"Ish Smith","73","175","2011","2018","1988-07-05","Wake Forest University","G"
"J.R. Smith","78","225","2005","2018","1985-09-09","","G-F"
"Jason Smith","85","245","2008","2018","1986-03-02","Colorado State University","F-C"
"Josh Smith","81","225","2005","2018","1985-12-05","","F"
"Tony Snell","79","200","2014","2018","1991-11-10","University of New Mexico","G-F"
"Marreese Speights","82","255","2009","2018","1987-08-04","University of Florida","C-F"
"Nik Stauskas","78","205","2015","2018","1993-10-07","University of Michigan","G"
"Lance Stephenson","77","230","2011","2018","1990-09-05","University of Cincinnati","G-F"
"Julyan Stone","78","200","2012","2018","1988-12-07","University of Texas at El Paso","G"
"Caleb Swanigan","80","250","2018","2018","1997-04-18","Purdue University","F"
"Jayson Tatum","80","205","2018","2018","1998-03-03","Duke University","F"
"Isaiah Taylor","75","170","2017","2018","1994-07-11","University of Texas at Austin","G"
"Jeff Teague","74","186","2010","2018","1988-06-10","Wake Forest University","G"
"Mirza Teletovic","81","242","2013","2018","1985-09-18","","F"
"Garrett Temple","78","195","2010","2018","1986-05-08","Louisiana State University","G"
"Milos Teodosic","77","196","2018","2018","1987-03-19","","G"
"Jason Terry","74","185","2000","2018","1977-09-15","University of Arizona","G"
"Daniel Theis","81","215","2018","2018","1992-04-04","","C"
"Lance Thomas","80","235","2012","2018","1988-04-24","Duke University","F"
"Klay Thompson","79","215","2012","2018","1990-02-08","Washington State University","G-F"
"Tristan Thompson","81","238","2012","2018","1991-03-13","University of Texas at Austin","F-C"
"Sindarius Thornwell","77","212","2018","2018","1994-11-15","University of South Carolina","G"
"Anthony Tolliver","80","240","2009","2018","1985-06-01","Creighton University","F-C"
"Karl-Anthony Towns","85","244","2016","2018","1995-11-15","University of Kentucky","C-F"
"P.J. Tucker","78","245","2007","2018","1985-05-05","University of Texas at Austin","F"
"Evan Turner","79","220","2011","2018","1988-10-27","Ohio State University","G"
"Myles Turner","83","243","2016","2018","1996-03-24","University of Texas at Austin","C-F"
"Ekpe Udoh","82","240","2011","2018","1987-05-20","Baylor University","C-F"
"Tyler Ulis","70","150","2017","2018","1996-01-05","University of Kentucky","G"
"Jonas Valanciunas","85","265","2013","2018","1992-05-06","","C"
"Denzel Valentine","78","212","2017","2018","1993-11-16","Michigan State University","G"
"Fred VanVleet","73","195","2017","2018","1994-02-25","Wichita State University","G"
"Rashad Vaughn","78","202","2016","2018","1996-08-16","University of Nevada, Las Vegas","G"
"Noah Vonleh","82","240","2015","2018","1995-08-24","Indiana University","F"
"Nikola Vucevic","85","260","2012","2018","1990-10-24","University of Southern California","C"
"Dwyane Wade","76","220","2004","2018","1982-01-17","Marquette University","G"
"Dion Waiters","76","225","2013","2018","1991-12-10","Syracuse University","G"
"Kemba Walker","73","172","2012","2018","1990-05-08","University of Connecticut","G"
"John Wall","76","195","2011","2018","1990-09-06","University of Kentucky","G"
"Taurean Waller-Prince","80","220","2017","2018","1994-03-22","Baylor University","F"
"Derrick Walton","73","189","2018","2018","1995-04-03","University of Michigan","G"
"T.J. Warren","80","230","2015","2018","1993-09-05","North Carolina State University","F"
"Briante Weber","74","165","2016","2018","1992-12-29","Virginia Commonwealth University","G"
"David West","81","250","2004","2018","1980-08-29","Xavier University","F"
"Russell Westbrook","75","200","2009","2018","1988-11-12","University of California, Los Angeles","G"
"Derrick White","77","190","2018","2018","1994-07-02","University of Colorado","G"
"Okaro White","80","204","2017","2018","1992-08-13","Florida State University","F"
"Isaiah Whitehead","76","213","2017","2018","1995-03-08","Seton Hall University","G"
"Hassan Whiteside","85","265","2011","2018","1989-06-13","Marshall University","C"
"Andrew Wiggins","80","199","2015","2018","1995-02-23","University of Kansas","F-G"
"Jacob Wiley","79","215","2018","2018","1994-09-04","Eastern Washington University","F"
"Damien Wilkins","78","225","2005","2018","1980-01-11","University of Georgia","F-G"
"C.J. Williams","77","225","2018","2018","1990-02-06","North Carolina State University","G"
"Lou Williams","73","175","2006","2018","1986-10-27","","G"
"Marvin Williams","81","237","2006","2018","1986-06-19","University of North Carolina","F"
"Matt Williams","77","210","2018","2018","1993-10-14","University of Central Florida","G"
"Troy Williams","79","218","2017","2018","1994-12-30","Indiana University","F"
"D.J. Wilson","82","234","2018","2018","1996-02-19","University of Michigan","F"
"Jamil Wilson","79","230","2018","2018","1990-11-21","Marquette University","F"
"Justise Winslow","79","225","2016","2018","1996-03-26","Duke University","F"
"Jeff Withey","85","231","2014","2018","1990-03-07","University of Kansas","C"
"Nate Wolters","76","190","2014","2018","1991-05-15","South Dakota State University","G"
"Brandan Wright","82","210","2008","2018","1987-10-05","University of North Carolina","F-C"
"Delon Wright","77","183","2016","2018","1992-04-26","University of Utah","G"
"Guerschon Yabusele","79","260","2018","2018","1995-12-17","","F"
"Joe Young","74","180","2016","2018","1992-06-27","University of Oregon","G"
"Nick Young","79","210","2008","2018","1985-06-01","University of Southern California","G-F"
"Thaddeus Young","80","221","2008","2018","1988-06-21","Georgia Institute of Technology","F"
"Cody Zeller","85","240","2014","2018","1992-10-05","Indiana University","C-F"
"Tyler Zeller","85","253","2013","2018","1990-01-17","University of North Carolina","F-C"
"Paul Zipser","80","215","2017","2018","1994-02-18","","G-F"
"Ante Zizic","83","250","2018","2018","1997-01-04","","F-C"
"Ivica Zubac","85","265","2017","2018","1997-03-18","","C"
"Alexis Ajinca","86","248","2009","2017","1988-05-06","","C"
"Lavoy Allen","81","260","2012","2017","1989-02-04","Temple University","F-C"
"Chris Andersen","82","245","2002","2017","1978-07-07","Blinn College","F-C"
"Alan Anderson","78","220","2006","2017","1982-10-16","Michigan State University","G-F"
"Joel Anthony","81","245","2008","2017","1982-08-09","University of Nevada, Las Vegas","C"
"Wade Baldwin","76","202","2017","2017","1996-03-29","Vanderbilt University","G"
"Leandro Barbosa","75","194","2004","2017","1982-11-28","","G"
"Matt Barnes","79","226","2004","2017","1980-03-09","University of California, Los Angeles","F"
"Brandon Bass","80","250","2006","2017","1985-04-30","Louisiana State University","F"
"Anthony Bennett","80","245","2014","2017","1993-03-14","University of Nevada, Las Vegas","F"
"Ben Bentil","81","235","2017","2017","1995-03-29","Providence College","F"
"Anthony Brown","79","210","2016","2017","1992-10-10","Stanford University","F-G"
"Trey Burke","73","191","2014","2017","1992-11-12","University of Michigan","G"
"Rakeem Christmas","81","250","2016","2017","1991-12-01","Syracuse University","F"
"Semaj Christon","75","190","2017","2017","1992-11-01","Xavier University","G"
"Norris Cole","74","175","2012","2017","1988-10-13","Cleveland State University","G"
"Seth Curry","74","185","2014","2017","1990-08-23","Duke University","G"
"Boris Diaw","80","250","2004","2017","1982-04-16","","F-C"
"Toney Douglas","74","195","2010","2017","1986-03-16","Florida State University","G"
"Mike Dunleavy","81","230","2003","2017","1980-09-15","Duke University","F-G"
"Jarell Eddie","79","218","2016","2017","1991-10-30","Virginia Polytechnic Institute and State University","G-F"
"Monta Ellis","75","185","2006","2017","1985-10-26","","G"
"Dante Exum","78","190","2015","2017","1995-07-13","","G"
"Jordan Farmar","74","180","2007","2017","1986-11-30","University of California, Los Angeles","G"
"Randy Foye","76","213","2007","2017","1983-09-24","Villanova University","G"
"Patricio Garino","78","210","2017","2017","1993-05-17","George Washington University","G-F"
"Michael Gbinije","79","200","2017","2017","1992-06-05","Syracuse University","G"
"Alonzo Gee","78","225","2010","2017","1987-05-29","University of Alabama","G"
"Jonathan Gibson","74","185","2017","2017","1987-11-08","New Mexico State University","G"
"Archie Goodwin","77","200","2014","2017","1994-08-17","University of Kentucky","G"
"Gerald Green","79","205","2006","2017","1986-01-26","","G-F"
"Justin Hamilton","85","260","2014","2017","1990-04-01","Louisiana State University","C"
"A.J. Hammons","85","260","2017","2017","1992-08-27","Purdue University","C"
"Justin Harper","82","225","2012","2017","1989-08-30","University of Richmond","F"
"Manny Harris","77","185","2011","2017","1989-09-21","University of Michigan","G"
"Aaron Harrison","78","210","2016","2017","1994-10-28","University of Kentucky","G"
"Spencer Hawes","85","245","2008","2017","1988-04-28","University of Washington","C-F"
"Gerald Henderson","77","215","2010","2017","1987-12-09","Duke University","G"
"Roy Hibbert","86","270","2009","2017","1986-12-11","Georgetown University","C"
"Jordan Hill","82","235","2010","2017","1987-07-27","University of Arizona","C-F"
"Solomon Hill","79","225","2014","2017","1991-03-18","University of Arizona","F"
"Marcelo Huertas","75","200","2016","2017","1983-05-25","","G"
"Kris Humphries","81","235","2005","2017","1985-02-06","University of Minnesota","F-C"
"R.J. Hunter","77","185","2016","2017","1993-10-24","Georgia State University","G"
"Pierre Jackson","70","180","2017","2017","1991-08-29","Baylor University","G"
"John Jenkins","76","215","2013","2017","1991-03-06","Vanderbilt University","G"
"Brandon Jennings","73","170","2010","2017","1989-09-23","","G"
"Dahntay Jones","78","225","2004","2017","1980-12-27","Duke University","G-F"
"James Jones","80","218","2004","2017","1980-10-04","University of Miami","F-G"
"Terrence Jones","81","252","2013","2017","1992-01-09","University of Kentucky","F"
"Ryan Kelly","83","230","2014","2017","1991-04-09","Duke University","F"
"Brandon Knight","75","189","2012","2017","1991-12-02","University of Kentucky","G"
"Nicolas Laprovittola","76","180","2017","2017","1990-01-31","","G"
"Zach LaVine","77","189","2015","2017","1995-03-10","University of California, Los Angeles","G"
"Ty Lawson","71","195","2010","2017","1987-11-03","University of North Carolina","G"
"David Lee","81","245","2006","2017","1983-04-29","University of Florida","F"
"Shawn Long","81","255","2017","2017","1993-01-29","University of Louisiana at Lafayette","C-F"
"John Lucas III","71","166","2006","2017","1982-11-21","Oklahoma State University","G"
"Sheldon Mac","77","200","2017","2017","1992-12-21","University of Miami","G"
"K.J. McDaniels","78","205","2015","2017","1993-02-09","Clemson University","G-F"
"Rodney McGruder","76","205","2017","2017","1991-07-29","Kansas State University","G"
"Jordan McRae","78","185","2016","2017","1991-03-28","University of Tennessee","G"
"Josh McRoberts","82","240","2008","2017","1987-02-28","Duke University","F"
"Mike Miller","80","218","2001","2017","1980-02-19","University of Florida","F-G"
"Elijah Millsap","78","225","2015","2017","1987-08-12","University of Alabama at Birmingham","G-F"
"Anthony Morrow","77","210","2009","2017","1985-09-27","Georgia Institute of Technology","G"
"Donatas Motiejunas","85","222","2013","2017","1990-09-20","","F-C"
"Maurice Ndour","81","200","2017","2017","1992-06-18","Ohio University","F"
"Gary Neal","76","210","2011","2017","1984-10-03","Towson University","G"
"Georges Niang","80","230","2017","2017","1993-06-17","Iowa State University","F"
"Andrew Nicholson","81","250","2013","2017","1989-12-08","St. Bonaventure University","F"
"Steve Novak","82","225","2007","2017","1983-06-13","Marquette University","F"
"Daniel Ochefu","83","245","2017","2017","1993-12-15","Villanova University","C"
"Arinze Onuaku","81","255","2014","2017","1987-07-13","Syracuse University","C"
"Chinanu Onuaku","82","245","2017","2017","1996-11-01","University of Louisville","F-C"
"Jabari Parker","80","250","2015","2017","1995-03-15","Duke University","F"
"Lamar Patterson","77","225","2016","2017","1991-08-12","University of Pittsburgh","G-F"
"Cameron Payne","75","185","2016","2017","1994-08-08","Murray State University","G"
"Paul Pierce","79","235","1999","2017","1977-10-13","University of Kansas","F-G"
"Marshall Plumlee","85","250","2017","2017","1992-07-14","Duke University","C"
"Ronnie Price","74","190","2006","2017","1983-06-21","Utah Valley State College","G"
"Tim Quarterman","78","195","2017","2017","1994-10-27","Louisiana State University","G"
"Chasson Randle","74","185","2017","2017","1993-02-05","Stanford University","G"
"Brian Roberts","73","173","2013","2017","1985-12-03","University of Dayton","G"
"Glenn Robinson","78","222","2015","2017","1994-01-08","University of Michigan","G-F"
"Thomas Robinson","82","237","2013","2017","1991-03-17","University of Kansas","F"
"Sergio Rodriguez","75","176","2007","2017","1986-06-12","","G"
"Damjan Rudez","82","228","2015","2017","1986-06-17","","F"
"Brandon Rush","78","220","2009","2017","1985-07-07","University of Kansas","G-F"
"Larry Sanders","83","235","2011","2017","1988-11-21","Virginia Commonwealth University","C-F"
"Luis Scola","81","240","2008","2017","1980-04-30","","F"
"Kevin Seraphin","81","285","2011","2017","1989-12-07","","F"
"Tiago Splitter","83","245","2011","2017","1985-01-01","","F-C"
"Jarnell Stokes","81","263","2015","2017","1994-01-07","University of Tennessee","F-C"
"Diamond Stone","83","255","2017","2017","1997-02-10","University of Maryland","C"
"Rodney Stuckey","77","210","2008","2017","1986-04-21","Eastern Washington University","G"
"Jared Sullinger","81","260","2013","2017","1992-03-04","Ohio State University","F"
"Edy Tavares","87","260","2016","2017","1992-03-22","","C"
"Isaiah Thomas","69","185","2012","2017","1989-02-07","University of Washington","G"
"Hollis Thompson","80","206","2014","2017","1991-04-03","Georgetown University","G-F"
"Marcus Thornton","76","205","2010","2017","1987-06-05","Louisiana State University","G"
"Mike Tobey","85","260","2017","2017","1994-10-10","University of Virginia","C"
"Axel Toupane","79","197","2016","2017","1992-07-23","","G-F"
"Beno Udrih","75","205","2005","2017","1982-07-05","","G"
"Jarrod Uthoff","81","221","2017","2017","1993-05-19","University of Iowa","F"
"Anderson Varejao","82","273","2005","2017","1982-09-28","","F-C"
"Greivis Vasquez","78","217","2011","2017","1987-01-16","University of Maryland","G"
"Sasha Vujacic","79","195","2005","2017","1984-03-08","","G"
"C.J. Watson","74","175","2008","2017","1984-04-17","University of Tennessee","G"
"C.J. Wilcox","77","195","2015","2017","1990-12-30","University of Washington","G"
"Alan Williams","80","260","2016","2017","1993-01-28","University of California, Santa Barbara","F-C"
"Deron Williams","75","200","2006","2017","1984-06-26","University of Illinois at Urbana-Champaign","G"
"Derrick Williams","80","240","2012","2017","1991-05-25","University of Arizona","F"
"Reggie Williams","78","205","2010","2017","1986-09-14","Virginia Military Institute","F"
"Kyle Wiltjer","82","240","2017","2017","1992-10-20","Gonzaga University","F"
"Christian Wood","83","220","2016","2017","1995-09-27","University of Nevada, Las Vegas","F"
"Metta World Peace","78","260","2000","2017","1979-11-13","St. Johns University","F"
"James Young","78","215","2015","2017","1995-08-16","University of Kentucky","G-F"
"Stephen Zimmerman","85","240","2017","2017","1996-09-09","University of Nevada, Las Vegas","C"
"Jordan Adams","77","209","2015","2016","1994-07-08","University of California, Los Angeles","G"
"Cliff Alexander","80","245","2016","2016","1995-11-16","University of Kansas","F"
"Lou Amundson","81","220","2007","2016","1982-12-07","University of Nevada, Las Vegas","F"
"James Anderson","78","213","2011","2016","1989-03-25","Oklahoma State University","G-F"
"Thanasis Antetokounmpo","79","205","2016","2016","1992-07-17","","F"
"Keith Appling","73","185","2016","2016","1992-02-13","Michigan State University","G"
"Jeff Ayres","81","240","2010","2016","1987-04-29","Arizona State University","F"
"Cameron Bairstow","81","250","2015","2016","1990-12-07","University of New Mexico","F-C"
"Andrea Bargnani","85","245","2007","2016","1985-10-26","","F-C"
"DeJuan Blair","79","270","2010","2016","1989-04-22","University of Pittsburgh","F-C"
"Steve Blake","75","172","2004","2016","1980-02-26","University of Maryland","G"
"Matt Bonner","82","235","2005","2016","1980-04-05","University of Florida","F"
"Chris Bosh","83","235","2004","2016","1984-03-24","Georgia Institute of Technology","F-C"
"Elton Brand","80","275","2000","2016","1979-03-11","Duke University","F"
"Markel Brown","75","190","2015","2016","1992-01-29","Oklahoma State University","G"
"Kobe Bryant","78","212","1997","2016","1978-08-23","","G-F"
"Chase Budinger","79","209","2010","2016","1988-05-22","University of Arizona","F"
"Caron Butler","79","228","2003","2016","1980-03-13","University of Connecticut","F"
"Rasual Butler","79","215","2003","2016","1979-05-23","La Salle University","F-G"
"Coty Clarke","79","232","2016","2016","1992-07-04","University of Arkansas","F"
"Chris Copeland","81","239","2013","2016","1984-03-17","University of Colorado","F"
"Bryce Cotton","73","165","2015","2016","1992-08-11","Providence College","G"
"Jared Cunningham","76","195","2013","2016","1991-05-22","Oregon State University","G"
"Branden Dawson","78","225","2016","2016","1993-02-01","Michigan State University","F"
"Bryce Dejean-Jones","78","209","2016","2016","1992-08-21","Iowa State University","G"
"Duje Dukan","81","220","2016","2016","1991-12-04","University of Wisconsin","F"
"Tim Duncan","83","250","1998","2016","1976-04-25","Wake Forest University","F-C"
"Cleanthony Early","80","210","2015","2016","1991-04-17","Wichita State University","F"
"Jeremy Evans","81","200","2011","2016","1987-10-24","Western Kentucky University","F"
"Festus Ezeli","83","255","2013","2016","1989-10-21","Vanderbilt University","C"
"Jimmer Fredette","74","195","2012","2016","1989-02-25","Brigham Young University","G"
"Kevin Garnett","83","240","1996","2016","1976-05-19","","F-C"
"Drew Gooden","82","250","2003","2016","1981-09-24","University of Kansas","F"
"Andrew Goudelock","75","200","2012","2016","1988-12-07","College of Charleston","G"
"Erick Green","76","185","2015","2016","1991-05-09","Virginia Polytechnic Institute and State University","G"
"Jorge Gutierrez","75","191","2014","2016","1988-12-27","University of California","G"
"P.J. Hairston","78","230","2015","2016","1992-12-24","University of North Carolina","G-F"
"Jordan Hamilton","79","220","2012","2016","1990-10-06","University of Texas at Austin","G-F"
"Tyler Hansbrough","81","250","2010","2016","1985-11-03","University of North Carolina","F"
"Chuck Hayes","78","240","2006","2016","1983-06-11","University of Kentucky","F-C"
"J.J. Hickson","81","242","2009","2016","1988-09-04","North Carolina State University","F-C"
"Kirk Hinrich","76","190","2004","2016","1981-01-02","University of Kansas","G"
"Ryan Hollins","85","240","2007","2016","1984-10-10","University of California, Los Angeles","C"
"Damien Inglis","80","246","2016","2016","1995-05-20","","F"
"Cory Jefferson","81","218","2015","2016","1990-12-26","Baylor University","F"
"Chris Johnson","78","206","2013","2016","1990-04-29","University of Dayton","F-G"
"Orlando Johnson","77","220","2013","2016","1989-03-11","University of California, Santa Barbara","G"
"Chris Kaman","85","265","2004","2016","1982-04-28","Central Michigan University","C"
"Sergey Karasev","79","208","2014","2016","1993-10-26","","G-F"
"Sasha Kaun","83","260","2016","2016","1985-05-08","University of Kansas","C"
"Carl Landry","81","248","2008","2016","1983-09-19","Purdue University","F"
"Devyn Marble","78","200","2015","2016","1992-09-21","University of Iowa","G-F"
"Kendall Marshall","76","200","2013","2016","1991-08-19","University of North Carolina","G"
"Kevin Martin","79","199","2005","2016","1983-02-01","Western Carolina University","G"
"O.J. Mayo","77","210","2009","2016","1987-11-05","University of Southern California","G"
"Ray McCallum","75","190","2014","2016","1991-06-12","University of Detroit Mercy","G"
"Mitch McGary","82","255","2015","2016","1992-06-06","University of Michigan","F-C"
"Andre Miller","75","200","2000","2016","1976-03-19","University of Utah","G"
"Nazr Mohammed","82","221","1999","2016","1977-09-05","University of Kentucky","C"
"Luis Montero","79","185","2016","2016","1993-04-06","Westchester CC","G"
"Xavier Munford","74","180","2016","2016","1992-06-01","University of Rhode Island","G"
"J.J. OBrien","79","228","2016","2016","1992-04-08","San Diego State University","F"
"Kostas Papanikolaou","80","225","2015","2016","1990-07-31","","F"
"Nikola Pekovic","83","307","2011","2016","1986-01-03","","C"
"Kendrick Perkins","82","270","2004","2016","1984-11-10","","C"
"Tibor Pleiss","87","256","2016","2016","1989-11-02","","C"
"Phil Pressey","71","175","2014","2016","1991-02-17","University of Missouri","G"
"Pablo Prigioni","75","185","2013","2016","1977-05-17","","G"
"Tayshaun Prince","81","212","2003","2016","1980-02-28","University of Kentucky","F"
"Nate Robinson","69","180","2006","2016","1984-05-31","University of Washington","G"
"Robert Sacre","85","270","2013","2016","1989-06-06","Gonzaga University","C"
"Henry Sims","82","248","2013","2016","1990-03-27","Georgetown University","C"
"Donald Sloan","75","205","2012","2016","1988-01-15","Texas A&M University","G"
"Greg Smith","82","250","2012","2016","1991-01-08","California State University, Fresno","C"
"Russ Smith","73","165","2015","2016","1991-04-19","University of Louisville","G"
"Alex Stepheson","82","270","2016","2016","1987-08-07","University of Southern California","F"
"Amare Stoudemire","82","245","2003","2016","1982-11-16","","F-C"
"Jason Thompson","83","250","2009","2016","1986-07-21","Rider University","F-C"
"Charlie Villanueva","83","232","2006","2016","1984-08-24","University of Connecticut","F"
"Sonny Weems","78","205","2009","2016","1986-07-08","University of Arkansas","G-F"
"Shayne Whittington","83","250","2015","2016","1991-03-27","Western Michigan University","F-C"
"Elliot Williams","77","190","2012","2016","1989-06-20","University of Memphis","G"
"Mo Williams","73","198","2004","2016","1982-12-19","University of Alabama","G"
"Tony Wroten","78","205","2013","2016","1993-04-13","University of Washington","G"
"Jeff Adrien","79","245","2011","2015","1986-02-10","University of Connecticut","F"
"Furkan Aldemir","82","240","2015","2015","1991-08-09","","F-C"
"Pero Antic","83","260","2014","2015","1982-07-29","","C-F"
"Earl Barron","85","250","2006","2015","1981-08-14","University of Memphis","C"
"Jerrelle Benimon","80","245","2015","2015","1991-08-01","Towson University","F"
"Sim Bhullar","89","360","2015","2015","1992-12-02","New Mexico State University","C"
"Carlos Boozer","81","258","2003","2015","1981-11-20","Duke University","F-C"
"Jabari Brown","76","215","2015","2015","1992-12-18","University of Missouri","G"
"Shannon Brown","76","205","2007","2015","1985-11-29","Michigan State University","G"
"Dwight Buycks","75","190","2014","2015","1989-03-06","Marquette University","G"
"Will Bynum","73","185","2006","2015","1983-01-04","Georgia Institute of Technology","G"
"Nick Calathes","78","213","2014","2015","1989-02-07","University of Florida","G"
"Will Cherry","73","185","2015","2015","1991-02-08","University of Montana","G"
"Patrick Christopher","77","209","2015","2015","1988-06-03","University of California","G-F"
"Earl Clark","82","225","2010","2015","1988-01-17","University of Louisville","F"
"Victor Claver","81","224","2013","2015","1988-08-30","","F"
"Samuel Dalembert","83","255","2002","2015","1981-05-10","Seton Hall University","C"
"Luigi Datome","80","215","2014","2015","1987-11-27","","F"
"Brandon Davies","82","240","2014","2015","1991-07-25","Brigham Young University","F"
"Glen Davis","81","289","2008","2015","1986-01-01","Louisiana State University","F-C"
"Andre Dawkins","77","215","2015","2015","1991-09-19","Duke University","G"
