"name","height","weight","year_start","year_end","dob","college","position"
"Austin Daye","83","220","2010","2015","1988-06-05","Gonzaga University","F"
"Joey Dorsey","80","268","2009","2015","1983-12-16","University of Memphis","F"
"Chris Douglas-Roberts","79","200","2009","2015","1987-01-08","University of Memphis","G"
"Zoran Dragic","77","200","2015","2015","1989-06-22","","G-F"
"Larry Drew","74","180","2015","2015","1990-03-05","University of California, Los Angeles","G"
"Reggie Evans","80","245","2003","2015","1980-05-18","University of Iowa","F"
"Landry Fields","79","210","2011","2015","1988-06-27","Stanford University","F"
"Jamaal Franklin","77","191","2014","2015","1991-07-21","San Diego State University","G"
"Joel Freeland","82","250","2013","2015","1987-02-07","","F-C"
"Francisco Garcia","79","195","2006","2015","1981-12-31","University of Louisville","F-G"
"Ben Gordon","75","200","2005","2015","1983-04-04","University of Connecticut","G"
"Drew Gordon","81","245","2015","2015","1990-07-12","University of New Mexico","F"
"Danny Granger","81","222","2006","2015","1983-04-20","University of New Mexico","F"
"Willie Green","76","200","2004","2015","1981-07-28","University of Detroit Mercy","G"
"Brendan Haywood","85","268","2002","2015","1979-11-27","University of North Carolina","C"
"Xavier Henry","78","220","2011","2015","1991-03-15","University of Kansas","G"
"Lester Hudson","75","190","2010","2015","1984-08-07","University of Tennessee at Martin","G"
"Robbie Hummel","80","215","2014","2015","1989-03-08","Purdue University","F"
"Bernard James","82","240","2013","2015","1985-02-07","Florida State University","C"
"Grant Jerrett","82","235","2015","2015","1993-07-08","University of Arizona","F"
"Nick Johnson","75","202","2015","2015","1992-12-22","University of Arizona","G"
"Perry Jones","83","235","2013","2015","1991-09-24","Baylor University","F"
"Jerome Jordan","85","253","2012","2015","1986-09-29","University of Tulsa","C"
"Andrei Kirilenko","81","220","2002","2015","1981-02-18","","F"
"Alex Kirk","85","245","2015","2015","1991-11-14","University of New Mexico","C"
"Ognjen Kuzmic","85","251","2014","2015","1990-05-16","","C"
"Ricky Ledo","79","195","2014","2015","1992-09-10","","G"
"Malcolm Lee","77","200","2012","2015","1990-05-22","University of California, Los Angeles","G"
"Kalin Lucas","73","195","2015","2015","1989-05-24","Michigan State University","G"
"Shawn Marion","79","220","2000","2015","1978-05-07","University of Nevada, Las Vegas","F"
"Cartier Martin","79","220","2009","2015","1984-11-20","Kansas State University","F"
"Kenyon Martin","81","234","2001","2015","1977-12-30","University of Cincinnati","F"
"Jason Maxiell","79","260","2006","2015","1983-02-18","University of Cincinnati","F"
"Jerel McNeal","75","200","2015","2015","1987-06-01","Marquette University","G"
"Gal Mekel","75","191","2014","2015","1988-03-04","Wichita State University","G"
"Quincy Miller","81","210","2013","2015","1992-11-18","Baylor University","F"
"Darius Morris","76","190","2012","2015","1991-01-03","University of Michigan","G"
"Toure Murry","77","195","2014","2015","1989-11-08","Wichita State University","G-F"
"Jannero Pargo","73","175","2003","2015","1979-10-22","University of Arkansas","G"
"A.J. Price","74","181","2010","2015","1986-10-07","University of Connecticut","G"
"Miroslav Raduljica","85","250","2014","2015","1988-01-05","","C"
"Shavlik Randolph","82","240","2006","2015","1983-11-24","Duke University","F"
"Glen Rice","78","206","2014","2015","1991-01-01","Georgia Institute of Technology","G"
"Jason Richardson","78","220","2002","2015","1981-01-20","Michigan State University","G"
"Luke Ridnour","74","175","2004","2015","1981-02-13","University of Oregon","G"
"John Salmons","79","210","2003","2015","1979-12-12","University of Miami","G"
"Alexey Shved","78","190","2013","2015","1988-12-16","","G"
"Greg Stiemsma","83","260","2012","2015","1985-09-26","University of Wisconsin","C"
"David Stockton","71","165","2015","2015","1991-06-24","Gonzaga University","G"
"Jeffery Taylor","79","225","2013","2015","1989-05-23","Vanderbilt University","F"
"Sebastian Telfair","73","165","2005","2015","1985-06-09","","G"
"Malcolm Thomas","81","225","2012","2015","1988-11-08","San Diego State University","F"
"Tyrus Thomas","81","215","2007","2015","1986-08-17","Louisiana State University","F"
"Ronny Turiaf","82","249","2006","2015","1983-01-13","Gonzaga University","F"
"Hedo Turkoglu","82","220","2001","2015","1979-03-19","","F"
"Henry Walker","78","220","2009","2015","1987-10-09","Kansas State University","F"
"Gerald Wallace","79","215","2002","2015","1982-07-23","University of Alabama","F"
"David Wear","82","230","2015","2015","1990-09-21","University of California, Los Angeles","F"
"Travis Wear","82","230","2015","2015","1990-09-21","University of California, Los Angeles","F"
"Martell Webster","79","230","2006","2015","1986-12-04","","G-F"
"Shawne Williams","81","225","2007","2015","1986-02-16","University of Memphis","F"
"Dorell Wright","81","205","2005","2015","1985-12-02","","F-G"
"Ray Allen","77","205","1997","2014","1975-07-20","University of Connecticut","G"
"Hilton Armstrong","83","235","2007","2014","1984-11-11","University of Connecticut","F-C"
"Gustavo Ayon","82","250","2012","2014","1985-04-01","","C"
"Chris Babb","77","225","2014","2014","1990-02-14","Iowa State University","G"
"Shane Battier","80","220","2002","2014","1978-09-09","Duke University","F"
"Andris Biedrins","83","240","2005","2014","1986-04-02","","C"
"Chauncey Billups","75","202","1998","2014","1976-09-25","University of Colorado","G"
"Andray Blatche","83","235","2006","2014","1986-08-22","","F"
"Keith Bogans","77","215","2004","2014","1980-05-12","University of Kentucky","G-F"
"Ronnie Brewer","79","220","2007","2014","1985-03-20","University of Arkansas","G-F"
"MarShon Brooks","77","200","2012","2014","1989-01-26","Providence College","G-F"
"Andrew Bynum","85","285","2006","2014","1987-10-27","","C"
"Josh Childress","80","210","2005","2014","1983-06-20","Stanford University","G-F"
"Dionte Christmas","77","205","2014","2014","1986-09-15","Temple University","G"
"Jason Collins","85","255","2002","2014","1978-12-02","Stanford University","C"
"Nando De Colo","77","200","2013","2014","1987-06-23","","G"
"Shane Edwards","79","220","2014","2014","1987-05-31","University of Arkansas at Little Rock","F"
"Melvin Ely","82","260","2003","2014","1978-05-02","California State University, Fresno","C"
"Vitor Faverani","83","260","2014","2014","1988-05-05","","C"
"Carrick Felix","78","201","2014","2014","1990-08-17","Arizona State University","G"
"Derek Fisher","73","200","1997","2014","1974-08-09","University of Arkansas at Little Rock","G"
"Diante Garrett","76","190","2013","2014","1988-11-03","Iowa State University","G"
"Ryan Gomes","79","250","2006","2014","1982-09-01","Providence College","F"
"Aaron Gray","85","270","2008","2014","1984-12-07","University of Pittsburgh","C"
"Josh Harrellson","82","275","2012","2014","1989-02-12","University of Kentucky","C"
"Al Harrington","81","230","1999","2014","1980-02-17","","F"
"Elias Harris","80","239","2014","2014","1989-07-06","Gonzaga University","F"
"Mike Harris","78","240","2008","2014","1983-06-15","Rice University","F"
"Scotty Hopson","79","204","2014","2014","1989-08-08","University of Tennessee","G"
"Royal Ivey","75","200","2005","2014","1981-12-20","University of Texas at Austin","G"
"Stephen Jackson","80","218","2001","2014","1978-04-05","Butler County Community College","F-G"
"Damion James","79","225","2011","2014","1987-10-07","University of Texas at Austin","G-F"
"Antawn Jamison","80","223","1999","2014","1976-06-12","University of North Carolina","F"
"Othyus Jeffers","77","200","2010","2014","1985-08-05","Robert Morris University (IL)","G"
"Darius Johnson-Odom","74","215","2013","2014","1989-09-28","Marquette University","G"
"Solomon Jones","82","230","2007","2014","1984-07-16","University of South Florida","F"
"Viacheslav Kravtsov","85","260","2013","2014","1987-08-25","","C"
"Doron Lamb","76","210","2013","2014","1991-11-06","University of Kentucky","G"
"Rashard Lewis","82","215","1999","2014","1979-08-08","","F"
"Roger Mason","77","200","2003","2014","1980-09-10","University of Virginia","G"
"Eric Maynor","75","175","2010","2014","1987-06-11","Virginia Commonwealth University","G"
"Tony Mitchell","80","235","2014","2014","1992-04-07","University of North Texas","F"
"Arnett Moultrie","83","249","2013","2014","1990-11-18","Mississippi State University","F"
"Byron Mullens","85","275","2010","2014","1989-02-14","Ohio State University","C"
"Erik Murphy","82","230","2014","2014","1990-10-26","University of Florida","F"
"Hamady NDiaye","85","235","2011","2014","1987-01-12","Rutgers University","C"
"Steve Nash","75","195","1997","2014","1974-02-07","Santa Clara University","G"
"Nemanja Nedovic","75","192","2014","2014","1991-06-16","","G"
"James Nunnally","79","205","2014","2014","1990-07-14","University of California, Santa Barbara","F"
"Jermaine ONeal","83","226","1997","2014","1978-10-13","","F-C"
"Greg Oden","85","250","2009","2014","1988-01-22","Ohio State University","C"
"Daniel Orton","82","255","2012","2014","1990-08-06","University of Kentucky","C-F"
"Travis Outlaw","81","210","2004","2014","1984-09-18","","F"
"Dexter Pittman","83","308","2011","2014","1988-03-02","University of Texas at Austin","C"
"Josh Powell","81","225","2006","2014","1983-01-25","North Carolina State University","F"
"Anthony Randolph","82","205","2009","2014","1989-07-15","Louisiana State University","F"
"Mustafa Shakur","75","190","2011","2014","1984-08-18","University of Arizona","G"
"Tornike Shengelia","81","217","2013","2014","1991-10-05","","F"
"Chris Singleton","80","230","2012","2014","1989-11-21","Florida State University","F"
"Peyton Siva","73","185","2014","2014","1990-10-24","University of Louisville","G"
"Chris Smith","74","200","2014","2014","1987-10-13","University of Louisville","G"
"James Southerland","80","215","2014","2014","1990-04-28","Syracuse University","F"
"D.J. Stephens","77","188","2014","2014","1990-12-19","University of Memphis","G-F"
"Tyshawn Taylor","75","185","2013","2014","1990-04-12","University of Kansas","G"
"Marquis Teague","74","189","2013","2014","1993-02-28","University of Kentucky","G"
"Hasheem Thabeet","87","263","2010","2014","1987-02-16","University of Connecticut","C"
"Adonis Thomas","79","200","2014","2014","1993-03-25","University of Memphis","F"
"Jamaal Tinsley","75","195","2002","2014","1978-02-28","Iowa State University","G"
"Jeremy Tyler","82","260","2012","2014","1991-06-21","","C"
"Jarvis Varnado","81","230","2013","2014","1988-03-01","Mississippi State University","F"
"Jan Vesely","83","240","2012","2014","1990-04-24","","F"
"Casper Ware","70","175","2014","2014","1990-01-17","California State University, Long Beach","G"
"Earl Watson","73","195","2002","2014","1979-06-12","University of California, Los Angeles","G"
"Maalik Wayns","74","200","2013","2014","1991-05-02","Villanova University","G"
"D.J. White","81","251","2009","2014","1986-08-31","Indiana University","F"
"Royce White","80","270","2014","2014","1991-04-10","Iowa State University","F"
"Chris Wright","80","226","2012","2014","1988-09-30","University of Dayton","F"
"Josh Akognon","71","185","2013","2013","1986-02-10","California State University, Fullerton","G"
"Rodrigue Beaubois","73","170","2010","2013","1988-02-24","","G"
"Kwame Brown","83","270","2002","2013","1982-03-10","","F"
"Marcus Camby","83","220","1997","2013","1974-03-22","University of Massachusetts Amherst","C-F"
"Matt Carroll","78","212","2004","2013","1980-08-28","University of Notre Dame","G"
"Will Conroy","74","195","2007","2013","1982-12-08","University of Washington","G"
"Daequan Cook","77","205","2008","2013","1987-04-28","Ohio State University","G"
"Eddy Curry","85","295","2002","2013","1982-12-05","","C"
"Marquis Daniels","78","200","2004","2013","1981-01-07","Auburn University","G-F"
"Carlos Delfino","78","230","2005","2013","1982-08-29","","G"
"Justin Dentmon","71","185","2012","2013","1985-09-05","University of Washington","G"
"DeSagana Diop","85","300","2002","2013","1982-01-30","","C"
"Keyon Dooling","75","196","2001","2013","1980-05-08","University of Missouri","G"
"Chris Duhon","73","185","2005","2013","1982-08-31","Duke University","G"
"Devin Ebanks","81","215","2011","2013","1989-10-28","West Virginia University","F"
"Kim English","78","200","2013","2013","1988-09-24","University of Missouri","G"
"Mickael Gelabale","79","215","2007","2013","1983-05-22","","F"
"Daniel Gibson","74","190","2007","2013","1986-02-27","University of Texas at Austin","G"
"Hamed Haddadi","86","254","2009","2013","1985-05-19","","C"
"Richard Hamilton","78","185","2000","2013","1978-02-14","University of Connecticut","G-F"
"Ben Hansbrough","75","203","2013","2013","1987-12-23","University of Notre Dame","G"
"Terrel Harris","77","190","2012","2013","1987-08-10","Oklahoma State University","G"
"Lazar Hayward","78","225","2011","2013","1986-11-26","Marquette University","F"
"Cory Higgins","77","180","2012","2013","1989-06-14","University of Colorado","G"
"Grant Hill","80","225","1995","2013","1972-10-05","Duke University","F-G"
"Tyler Honeycutt","80","188","2012","2013","1990-07-15","University of California, Los Angeles","F"
"Josh Howard","79","210","2004","2013","1980-04-28","Wake Forest University","F-G"
"Juwan Howard","81","240","1995","2013","1973-02-07","University of Michigan","F"
"Jared Jeffries","83","230","2003","2013","1981-11-25","Indiana University","F"
"Charles Jenkins","75","220","2012","2013","1989-02-28","Hofstra University","G"
"Ivan Johnson","80","230","2012","2013","1984-04-10","University of Oregon","F"
"DeQuan Jones","80","221","2013","2013","1990-06-20","University of Miami","F"
"Dominique Jones","76","215","2011","2013","1988-10-15","University of South Florida","G"
"Kevin Jones","80","251","2013","2013","1989-08-25","West Virginia University","F"
"Kris Joseph","79","210","2013","2013","1988-12-17","Syracuse University","F"
"Jason Kidd","76","205","1995","2013","1973-03-23","University of California","G"
"Linas Kleiza","80","245","2006","2013","1985-01-03","University of Missouri","F"
"Scott Machado","73","205","2013","2013","1990-06-08","Iona College","G"
"Corey Maggette","78","218","2000","2013","1979-11-12","Duke University","F"
"Dominic McGuire","81","220","2008","2013","1985-10-20","California State University, Fresno","F"
"Fab Melo","85","255","2013","2013","1990-06-20","Syracuse University","C"
"Darko Milicic","85","250","2004","2013","1985-06-20","","F-C"
"Kevin Murphy","77","185","2013","2013","1990-03-06","Tennessee Technological University","G"
"Troy Murphy","83","245","2002","2013","1980-05-02","University of Notre Dame","F-C"
"Lamar Odom","82","220","2000","2013","1979-11-06","University of Rhode Island","F"
"Tim Ohlbrecht","83","255","2013","2013","1988-08-30","","C"
"Emeka Okafor","82","252","2005","2013","1982-09-28","University of Connecticut","C-F"
"Jeremy Pargo","74","219","2012","2013","1986-03-17","Gonzaga University","G"
"Sasha Pavlovic","80","220","2004","2013","1983-11-15","","G-F"
"Johan Petro","85","247","2006","2013","1986-01-27","","C"
"Mickael Pietrus","78","215","2004","2013","1982-02-07","","G-F"
"Joel Przybilla","85","255","2001","2013","1979-10-10","University of Minnesota","C"
"Chris Quinn","74","185","2007","2013","1983-09-27","University of Notre Dame","G"
"Vladimir Radmanovic","82","227","2002","2013","1980-11-19","","F"
"Quentin Richardson","78","223","2001","2013","1980-04-13","DePaul University","G"
"Brandon Roy","78","215","2007","2013","1984-07-23","University of Washington","G"
"Samardo Samuels","81","260","2011","2013","1989-01-09","University of Louisville","F"
"Josh Selby","74","183","2012","2013","1991-03-27","University of Kansas","G"
"Nolan Smith","74","185","2012","2013","1988-07-25","Duke University","G"
"Jerry Stackhouse","78","218","1996","2013","1974-11-05","University of North Carolina","G-F"
"DeShawn Stevenson","77","210","2001","2013","1981-04-03","","G"
"DaJuan Summers","80","230","2010","2013","1988-01-24","Georgetown University","F"
"Kurt Thomas","81","230","1996","2013","1972-10-04","Texas Christian University","F"
"Rasheed Wallace","82","225","1996","2013","1974-09-17","University of North Carolina","F-C"
"Luke Walton","80","235","2004","2013","1980-03-28","University of Arizona","F"
"Hakim Warrick","81","219","2006","2013","1982-07-08","Syracuse University","F"
"James White","79","200","2007","2013","1982-10-21","University of Cincinnati","G-F"
"Chris Wilcox","82","221","2003","2013","1982-09-03","University of Maryland","F"
"Terrence Williams","78","220","2010","2013","1987-06-28","University of Louisville","F"
"Sam Young","78","220","2010","2013","1985-06-01","University of Pittsburgh","F"
"Luke Zeller","83","245","2013","2013","1987-04-07","University of Notre Dame","C"
"Blake Ahearn","74","190","2008","2012","1984-05-27","Missouri State University","G"
"Solomon Alabi","85","251","2011","2012","1988-03-21","Florida State University","C"
"Morris Almond","78","225","2008","2012","1985-02-02","Rice University","G"
"Gilbert Arenas","75","191","2002","2012","1982-01-06","University of Arizona","G"
"Kelenna Azubuike","77","220","2007","2012","1983-12-16","University of Kentucky","G"
"Renaldo Balkman","80","208","2007","2012","1984-07-14","University of South Carolina","F"
"Tony Battie","83","230","1998","2012","1976-02-11","Texas Tech University","C-F"
"Raja Bell","77","204","2001","2012","1976-09-19","Florida International University","G"
"Keith Benson","83","240","2012","2012","1988-08-13","Oakland University","C"
"Mike Bibby","73","190","1999","2012","1978-05-13","University of Arizona","G"
"Earl Boykins","65","135","1999","2012","1976-06-02","Eastern Michigan University","G"
"Craig Brackins","82","230","2011","2012","1987-10-09","Iowa State University","F"
"Jon Brockman","79","255","2010","2012","1987-03-20","University of Washington","F"
"Derrick Brown","79","225","2010","2012","1987-09-08","Xavier University","F"
"Derrick Byars","79","220","2012","2012","1984-04-25","Vanderbilt University","F"
"Brian Cardinal","80","245","2001","2012","1977-05-02","Purdue University","F"
"Anthony Carter","73","190","2000","2012","1975-06-16","University of Hawaii","G"
"Brian Cook","81","234","2004","2012","1980-12-04","University of Illinois at Urbana-Champaign","F"
"Erick Dampier","83","265","1997","2012","1975-07-14","Mississippi State University","C"
"Baron Davis","75","209","2000","2012","1979-04-13","University of California, Los Angeles","G"
"Josh Davis","80","235","2004","2012","1980-08-10","University of Wyoming","F"
"Eric Dawson","81","250","2012","2012","1984-07-07","Midwestern State University","F"
"Ike Diogu","80","250","2006","2012","1983-09-11","Arizona State University","F"
"Jerome Dyson","75","180","2012","2012","1987-05-01","University of Connecticut","G"
"Francisco Elson","85","235","2004","2012","1976-02-28","University of California","C"
"Andre Emmett","77","230","2005","2012","1982-08-27","Texas Tech University","F"
"Semih Erden","85","240","2011","2012","1986-07-28","","C"
"Maurice Evans","77","220","2002","2012","1978-11-08","University of Texas at Austin","G"
"Christian Eyenga","77","210","2011","2012","1989-06-22","","F"
"Rudy Fernandez","78","185","2009","2012","1985-04-04","","G"
"Kyrylo Fesenko","85","288","2008","2012","1986-12-24","","C"
"Jonny Flynn","73","185","2010","2012","1989-02-06","Syracuse University","G"
"Jeff Foote","85","265","2012","2012","1987-07-14","Cornell University","C"
"Gary Forbes","79","220","2011","2012","1985-02-25","University of Massachusetts Amherst","F"
"T.J. Ford","73","165","2004","2012","1983-03-24","University of Texas at Austin","G"
"Courtney Fortson","71","185","2012","2012","1988-05-23","University of Arkansas","G"
"Jeff Foster","83","236","2000","2012","1977-01-16","Texas State University","F-C"
"Dan Gadzuric","83","240","2003","2012","1978-02-02","University of California, Los Angeles","C"
"Sundiata Gaines","73","185","2010","2012","1986-04-18","University of Georgia","G"
"Mickell Gladness","83","220","2012","2012","1986-07-26","Alabama A&M University","C"
"Donte Greene","83","226","2009","2012","1988-02-21","Syracuse University","F"
"Luke Harangody","80","246","2011","2012","1988-01-02","University of Notre Dame","F"
"Darington Hobson","79","210","2012","2012","1987-09-29","University of New Mexico","G"
"Dennis Horner","81","230","2012","2012","1988-02-05","North Carolina State University","F"
"Larry Hughes","77","184","1999","2012","1979-01-23","Saint Louis University","G"
"Yi Jianlian","85","240","2008","2012","1987-10-27","","F"
"Armon Johnson","75","195","2011","2012","1989-02-23","University of Nevada, Reno","G"
"Carldell Johnson","70","180","2012","2012","1983-01-28","University of Alabama at Birmingham","G"
"JaJuan Johnson","82","221","2012","2012","1989-02-08","Purdue University","F"
"Trey Johnson","77","218","2009","2012","1984-08-30","Jackson State University","G"
"Jason Kapono","80","213","2004","2012","1981-02-04","University of California, Los Angeles","F"
"D.J. Kennedy","78","215","2012","2012","1989-11-05","St. Johns University","F"
"Travis Leslie","76","205","2012","2012","1990-03-29","University of Georgia","G"
"Vernon Macklin","82","227","2012","2012","1986-09-20","University of Florida","F"
"Jamaal Magloire","83","259","2001","2012","1978-05-21","University of Kentucky","C"
"Tracy McGrady","80","210","1998","2012","1979-05-24","","F-G"
"Brad Miller","83","244","1999","2012","1976-04-12","Purdue University","C"
"Jamario Moon","80","205","2008","2012","1980-06-13","Meridian Community College","F"
"Mikki Moore","83","225","1999","2012","1975-11-04","University of Nebraska","C"
"Eduardo Najera","80","240","2001","2012","1976-07-11","University of Oklahoma","F"
"Andres Nocioni","79","225","2005","2012","1979-11-30","","F"
"Mehmet Okur","83","249","2003","2012","1979-05-26","","C-F"
"Larry Owens","79","210","2011","2012","1983-01-08","Oral Roberts University","F"
"Anthony Parker","78","215","1998","2012","1975-06-19","Bradley University","G"
"Michael Redd","78","220","2001","2012","1979-08-24","Ohio State University","G"
"Ryan Reid","80","232","2012","2012","1986-10-30","Florida State University","F"
"Walker Russell","73","170","2012","2012","1982-10-06","Jacksonville State University","G"
"Brian Scalabrine","81","241","2002","2012","1978-03-18","University of Southern California","F"
"Xavier Silas","77","205","2012","2012","1988-01-22","Northern Illinois University","G"
"Bobby Simmons","79","210","2002","2012","1980-06-02","DePaul University","G-F"
"James Singleton","80","216","2006","2012","1981-07-20","Murray State University","F"
"Brian Skinner","81","255","1999","2012","1976-05-19","Baylor University","F"
"Craig Smith","79","250","2007","2012","1983-11-10","Boston College","F"
"Jerry Smith","74","190","2012","2012","1987-09-26","University of Louisville","G"
"Trey Thompkins","82","245","2012","2012","1990-05-20","University of Georgia","F"
"Mychel Thompson","78","211","2012","2012","1988-06-01","Pepperdine University","G"
"Edwin Ubiles","78","204","2012","2012","1986-11-26","Siena College","G"
"Ben Uzoh","75","205","2011","2012","1988-03-19","University of Tulsa","G"
"Von Wafer","77","210","2006","2012","1985-07-21","Florida State University","G"
"Ben Wallace","81","240","1997","2012","1974-09-10","Virginia Union University","F-C"
"Darryl Watkins","83","258","2008","2012","1984-11-08","Syracuse University","C"
"Delonte West","76","180","2005","2012","1983-07-26","Saint Josephs University","G"
"Jordan Williams","82","260","2012","2012","1990-10-11","University of Maryland","F"
"Sean Williams","82","235","2008","2012","1986-09-13","Boston College","C-F"
"Shelden Williams","81","250","2007","2012","1983-10-21","Duke University","F"
"Maurice Ager","77","202","2007","2011","1984-02-09","Michigan State University","G"
"Malik Allen","82","255","2002","2011","1978-06-27","Villanova University","F-C"
"David Andersen","83","245","2010","2011","1980-06-23","","C"
"Carlos Arroyo","74","202","2002","2011","1979-07-30","Florida International University","G"
"Marcus Banks","74","200","2004","2011","1981-11-19","University of Nevada, Las Vegas","G"
"Charlie Bell","75","200","2002","2011","1979-03-12","Michigan State University","G"
"Derrick Caracter","81","275","2011","2011","1988-05-04","University of Texas at El Paso","F"
"Rodney Carney","79","205","2007","2011","1984-04-15","University of Memphis","F"
"Jarron Collins","83","255","2002","2011","1978-12-02","Stanford University","F-C"
"Sherron Collins","71","205","2011","2011","1987-03-18","University of Kansas","G"
"Marcus Cousin","83","245","2011","2011","1986-12-18","University of Houston","C"
"Antonio Daniels","76","195","1998","2011","1975-03-19","Bowling Green State University","G"
"Zabian Dowdell","75","191","2011","2011","1984-09-10","Virginia Polytechnic Institute and State University","G"
"Ronald Dupree","79","209","2004","2011","1981-01-26","Louisiana State University","F"
"Patrick Ewing","80","235","2011","2011","1984-05-20","Georgetown University","F"
"Joey Graham","79","225","2006","2011","1982-06-11","Oklahoma State University","F"
"Stephen Graham","78","215","2006","2011","1982-06-11","Oklahoma State University","G"
"Orien Greene","76","208","2006","2011","1982-02-04","University of Louisiana at Lafayette","G"
"Luther Head","75","185","2006","2011","1982-11-26","University of Illinois at Urbana-Champaign","G"
"Eddie House","73","180","2001","2011","1978-05-14","Arizona State University","G"
"Zydrunas Ilgauskas","87","238","1998","2011","1975-06-05","","C"
"Didier Ilunga-Mbenga","85","245","2005","2011","1980-12-30","","C"
"Darnell Jackson","81","253","2009","2011","1985-11-07","University of Kansas","F"
"Eugene Jeter","71","175","2011","2011","1983-12-02","University of Portland","G"
"Nenad Krstic","85","240","2005","2011","1983-07-25","","C"
"Acie Law","75","195","2008","2011","1985-01-25","Texas A&M University","G"
"Gani Lawal","81","234","2011","2011","1988-11-07","Georgia Institute of Technology","F"
"Sean Marks","82","250","1999","2011","1975-08-23","University of California","F-C"
"Antonio McDyess","81","220","1996","2011","1974-09-07","University of Alabama","F-C"
"Pops Mensah-Bonsu","81","240","2007","2011","1983-09-07","George Washington University","F"
"Yao Ming","90","310","2003","2011","1980-09-12","","C"
"Shaquille ONeal","85","325","1993","2011","1972-03-06","Louisiana State University","C"
"Fabricio Oberto","82","245","2006","2011","1975-03-21","","C-F"
"Morris Peterson","79","218","2001","2011","1977-08-26","Michigan State University","F"
"James Posey","80","215","2000","2011","1977-01-13","Xavier University","F-G"
"Leon Powe","80","240","2007","2011","1984-01-22","University of California","F"
"Theo Ratliff","82","225","1996","2011","1973-04-17","University of Wyoming","C-F"
"Andy Rautins","76","190","2011","2011","1986-11-02","Syracuse University","G"
"Quinton Ross","78","195","2005","2011","1981-04-30","Southern Methodist University","G"
"Garret Siler","83","305","2011","2011","1986-10-25","Augusta State University","C"
"Joe Smith","82","225","1996","2011","1975-07-26","University of Maryland","F"
"Darius Songaila","81","248","2004","2011","1978-02-14","Wake Forest University","F"
"Peja Stojakovic","81","220","1999","2011","1977-06-09","","F-G"
"Pape Sy","79","225","2011","2011","1988-04-05","","F"
"Jermaine Taylor","76","210","2010","2011","1986-12-08","University of Central Florida","G"
"Etan Thomas","81","256","2002","2011","1978-04-01","Syracuse University","F"
"Al Thornton","80","220","2008","2011","1983-12-07","Florida State University","F"
"Ime Udoka","78","215","2004","2011","1977-08-09","Portland State University","F"
"Willie Warren","76","203","2011","2011","1989-10-22","University of Oklahoma","G"
"Kyle Weaver","78","201","2009","2011","1986-02-18","Washington State University","G"
"Mario West","77","210","2008","2011","1984-06-19","Georgia Institute of Technology","G"
"Jason Williams","73","190","1999","2011","1975-11-18","University of Florida","G"
"Jawad Williams","81","218","2009","2011","1983-02-19","University of North Carolina","F"
"Antoine Wright","79","210","2006","2011","1984-02-06","Texas A&M University","G-F"
"Julian Wright","80","225","2008","2011","1987-05-20","University of Kansas","F"
